Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0.20000000000000284,240.13,2.01,248,0,237.47,2.83
0.19999999999999574,240.57,2.4,248,0,238.01,2.35
0.20000000000000284,241.09,2.51,248,0,238.41,1.43
0.20000000000000284,241.58,2.15,248,0,238.58,0.38
0.19999999999999574,241.94,1.45,248,0,238.56,-0.47
0.20000000000000284,242.16,0.82,248,0,238.4,-0.98
0.19999999999999574,242.27,0.4,248,0,238.17,-0.33
0.20000000000000284,242.32,1.03,248,0,238.26,0.19
0.20000000000000284,242.69,1.69,248,0,238.25,-0.33
0.19999999999999574,242.99,1.07,248,0,238.13,-1.08
0.20000000000000284,243.11,-0.29,248,0,237.81,-2.31
0.19999999999999574,242.88,-2.29,248,0,237.21,-3.79
0.20000000000000284,242.2,-4.4,248,0,236.3,-5.05
0.20000000000000284,241.12,-5.97,248,-1.77,235.19,-5.54
0.19999999999999574,239.81,-6.74,247.29,-4.17,234.08,-5.09
0.20000000000000284,238.43,-6.82,246.33,-5.13,233.15,-4.11
0.19999999999999574,237.08,-6.55,245.24,-6.15,232.44,-3.24
0.20000000000000284,235.81,-6.3,243.87,-7.34,231.86,-2.78
0.20000000000000284,234.56,-6.32,242.3,-7.92,231.33,-2.6
0.19999999999999574,233.28,-6.69,240.7,-7.99,230.82,-2.43
0.20000000000000284,231.89,-7.24,239.11,-8.47,230.35,-2.15
0.19999999999999574,230.38,-7.69,237.32,-9.96,229.96,-1.74
0.20000000000000284,228.81,-7.82,235.13,-11.72,229.66,-1.23
0.20000000000000284,227.25,-7.61,232.63,-12.46,229.47,-0.77
0.19999999999999574,225.77,-7.22,230.14,-11.99,229.35,-0.57
0.20000000000000284,224.37,-6.93,227.83,-11.61,229.24,-0.79
0.19999999999999574,223,-6.93,225.5,-12.4,229.04,-1.31
0.20000000000000284,221.59,-7.16,222.87,-13.84,228.71,-1.84
0.20000000000000284,220.13,-7.51,219.96,-14.47,228.3,-2.24
0.19999999999999574,218.59,-7.95,217.09,-13.42,227.82,-2.5
0.20000000000000284,216.95,-8.61,214.6,-11.19,227.3,-2.61
0.19999999999999574,215.15,-9.5,212.61,-9.17,226.78,-2.51
0.20000000000000284,213.15,-10.54,210.93,-8.57,226.29,-2.27
0.20000000000000284,210.93,-11.68,209.18,-9.44,225.87,-1.98
0.19999999999999574,208.48,-12.85,207.15,-10.62,225.5,-1.66
0.20000000000000284,205.79,-13.64,204.94,-10.64,225.2,-1.37
0.19999999999999574,203.02,-13.31,202.89,-7.34,224.95,-1.3
0.20000000000000284,200.47,-7.55,202,-2.24,224.68,-1.5
0.20000000000000284,200,-1.17,202,0,224.35,-1.77
0.19999999999999574,200,0,202,0,223.97,-1.85
0.20000000000000284,200,0,202,0,223.61,-1.56
0.19999999999999574,200,0,202,0,223.35,-0.98
0.20000000000000284,200,0,202,0,223.22,-0.44
0.20000000000000284,200,1.42,202,0,223.18,-0.25
0.19999999999999574,200.57,6.72,202,0,223.12,-0.51
0.20000000000000284,202.69,10.02,202,0,222.97,-0.97
0.19999999999999574,204.58,8.63,202,0,222.73,-1.2
0.20000000000000284,206.14,7.43,202,0,222.49,-0.82
0.20000000000000284,207.55,7.23,202,0,222.4,0.26
0.19999999999999574,209.03,7.81,202,0,222.6,1.82
0.20000000000000284,210.68,8.55,202,0.34,223.13,3.33
0.19999999999999574,212.45,9.01,202.14,8.03,223.93,4.34
0.20000000000000284,214.28,9.17,205.21,15.51,224.86,4.73
0.20000000000000284,216.12,9.2,208.34,16.35,225.82,4.76
0.19999999999999574,217.96,9.21,211.76,17.85,226.77,4.82
